Station,Latitude,Longitude
20 de Noviembre,19.37192372,-99.17099833
Acatitla,19.3642515,-99.00597811
Aculco,19.37292574,-99.10739779
Agricola Oriental,19.40404596,-99.06982541
Allende,19.43547387,-99.13670897
Apatlaco,19.378298,-99.10934
Aquiles Serdan,19.489367,-99.194511
Aragon,19.45101356,-99.09598231
Atlalilco,19.35570839,-99.10157204
Auditorio,19.42530549,-99.19173717
Autobuses del Norte,19.478595000000002,-99.14047099999999
Azcapotzalco,19.49067553,-99.18621182
Balbuena,19.42288725,-99.10281658
Balderas,19.42692438,-99.14881109999999
Barranca del Muerto,19.361488199999997,-99.18895841
Bellas Artes,19.43649573,-99.14061427
Blvd. Puerto Aereo,19.41958866,-99.09606814
Bondojito,19.46450842,-99.1117537
Bosque de Aragon,19.45807473,-99.06927824
Buenavista,19.44615757,-99.15289879
Calle 11,19.32025578,-99.08486724
Camarones,19.47873042,-99.18894768
Canal de San Juan,19.39821706,-99.05969739
Canal del Norte,19.44866652,-99.11589503
Candelaria,19.42909974,-99.11989689
Centro Medico,19.40636329,-99.15504456
Cerro de la Estrella,19.355601,-99.085872
Chabacano,19.408513,-99.135489
Chapultepec,19.42025648,-99.17658806
Chilpancingo,19.40575613,-99.1683054
Ciudad Azteca,19.53444312,-99.02711391
Ciudad Deportiva,19.40811392,-99.09135818
Colegio Militar,19.44864628,-99.17122364
Constitucion de 1917,19.345135,-99.063367
Constituyentes,19.41129131,-99.19138312
Consulado,19.45682033,-99.11388874
Copilco,19.33597857,-99.17657733
Coyoacan,19.36142746,-99.17056918
Coyuya,19.39769,-99.113413
Cuatro Caminos,19.458454,-99.21464300000001
Cuauhtemoc,19.42565962,-99.15455103
Cuitlahuac,19.45668,-99.181555
Culhuacan,19.33887391,-99.10894275
Deportivo Oceania,19.45077077,-99.07917023
Deptvo. 18 de Marzo,19.48358544,-99.12576556
Division del Norte,19.3789276,-99.15950775
Doctores,19.42049932,-99.14335012
Eduardo Molina,19.45112485,-99.10544515
Eje Central,19.36118453,-99.15133238
El Rosario,19.50522896,-99.19948339
Ermita,19.36030391,-99.1448307
Escuadron 201,19.36449442,-99.10931826
Etiopia,19.39604129,-99.15617108
Eugenia,19.38628539,-99.15724397
Ferreria,19.49039233,-99.173702
Fray Servando,19.42149092,-99.12033677
Garibaldi,19.443082,-99.139034
General Anaya,19.35319801,-99.14478779
Gomez Farias,19.41608763,-99.09070373
Guelatao,19.38459525,-99.03579354
Guerrero,19.44522682,-99.1463542
Hangares,19.423251,-99.08709499999999
Hidalgo,19.4376997,-99.14730906
Hospital General,19.41369961,-99.1531992
Impulsora,19.484987,-99.048743
Indios Verdes,19.495314999999998,-99.119141
Inst. del Petroleo,19.48983606,-99.14455175
Insurgentes,19.42359552,-99.16325212
Insurgentes Sur,19.37360387,-99.17859435
Isabel la Catolica,19.4260947,-99.13782477
Iztacalco,19.388092,-99.112086
Iztapalapa,19.35760127,-99.09341812
Jamaica,19.41014786,-99.12203193
Juanacatlan,19.41290022,-99.18207049
Juarez,19.43336942,-99.14771676
La Paz,19.35048513,-98.96061659
La Raza,19.46907052,-99.13904786
La Viga,19.406106,-99.125973
La Villa-Basilica,19.4814715,-99.11815882
Lagunilla,19.44300109,-99.13107634
Lazaro Cardenas,19.40702104,-99.14433718
Lindavista,19.4875806,-99.13434863
Lomas Estrella,19.322001999999998,-99.096696
Los Reyes,19.35877546,-98.97670984
Martin Carrera,19.4837675,-99.10599232
Merced,19.42546738,-99.12541151
Mexicaltzingo,19.35744944,-99.12191391
Miguel A. de Q.,19.34651696,-99.18053627
Misterios,19.46290002,-99.13051844
Mixcoac,19.37567873,-99.18686628
Mixiuhca,19.40820499,-99.11285877
Moctezuma,19.426271,-99.109803
Morelos,19.438426,-99.11933
Muzquiz,19.50096117,-99.04171586
Nativitas,19.37938304,-99.13987398
Nezahualcoyotl,19.472534,-99.054375
Ninos Heroes,19.41946724,-99.15023804
Nopalera,19.29939771,-99.04621124
Normal,19.44424548,-99.1671896
Norte 45,19.48823803,-99.16249037
Obrera,19.41301153,-99.14392948
Observatorio,19.397485999999997,-99.20066899999999
Oceania,19.44572255,-99.08683062
Olimpica,19.52084286,-99.03298259
Olivos,19.30328601,-99.05831337
Panteones,19.458219,-99.20294
Pantitlan,19.4146103,-99.07262564
Parque de los Venados,19.37046623,-99.15766239
Patriotismo,19.40559422,-99.1784656
Penon Viejo,19.37291562,-99.0172863
Periferico Oriente,19.317492,-99.07471899999999
Pino Suarez,19.42543703,-99.13303971
Plaza Aragon,19.52822456,-99.02979612
Polanco,19.43337954,-99.19079304
Politecnico,19.499964000000002,-99.14880600000001
Popotla,19.45261196,-99.17546153
Portales,19.36976784,-99.14130092
Potrero,19.476413,-99.131748
Puebla,19.40697045,-99.08233523
Refineria,19.46911098,-99.18985963
Revolucion,19.43880248,-99.15389657
Ricardo Flores Magon,19.43628327,-99.10342813
Rio de los Remedios,19.49024062,-99.04635072
Romero Rubio,19.44048194,-99.09420133
Salto del Agua,19.42720768,-99.14207339
San Andres Tomatlan,19.3272315,-99.10259128
San Antonio,19.38481791,-99.18661952
San Antonio Abad,19.4159055,-99.13429499
San Cosme,19.44185787,-99.16094542
San Joaquin,19.44553033,-99.19160843
San Juan Letran,19.43098165,-99.14116144
San Lazaro,19.431822,-99.114463
San Pedro los Pinos,19.39122414,-99.18572903
Santa Anita,19.40397512,-99.12136674
Santa Marta,19.359804,-98.99589399999999
Sevilla,19.42189565,-99.17074084
Tacuba,19.458382999999998,-99.188501
Tacubaya,19.40213338,-99.18823957
Talisman,19.47415847,-99.10779476
Tasquena,19.34400644,-99.14105415
Tecnologico,19.51470467,-99.03568625
Tepalcates,19.39072824,-99.04651165
Tepito,19.44256606,-99.12323356
Terminal Aerea,19.43380448,-99.08820391
Tezonco,19.306124,-99.065867
Tezozomoc,19.49448847,-99.19593215
Tlahuac,19.28680057,-99.01443243
Tlaltenco,19.294555,-99.023829
Tlatelolco,19.45520174,-99.1430819
UAM I,19.350327,-99.07480799999999
Universidad,19.32433595,-99.17407751
Valle Gomez,19.45868169,-99.11988616
Vallejo,19.49031142,-99.15479779
Velodromo,19.40811392,-99.10283804
Viaducto,19.40074699,-99.13663387
Villa de Aragon,19.4613523,-99.06114578
Villa de Cortes,19.38746949,-99.13862944
Viveros,19.35376487,-99.17542934
Xola,19.3950293,-99.13758874
Zapata,19.370547199999997,-99.16540861
Zapotitlan,19.29639028,-99.03402328
Zaragoza,19.41179726,-99.08322573
Zocalo,19.432602,-99.131879
